"random_state","timestamp","dataset","n","d","method","n_clusters","n_threads","elapsed_time","ar","r","fm","afm","mi","nmi","ami","nacc","psi"
5,1594445732.295017,"g2mg_5_30",100000,5,"Genie_0.5",2,0,0.022388458251953125,0.9709734541324235,0.9854867270672707,0.9854866015927595,0.9709734541341539,0.6499472280389285,0.9376765589704873,0.9376761093914646,0.9853799999999999,0.9839041400942493
5,1594445732.3149865,"g2mg_5_30",100000,5,"Genie_0.7",2,0,0.019147157669067383,2.631313376637377e-06,0.4999963447634477,0.7064186197304231,3.1719435446937967e-06,0.0005059241421758731,0.001443751088325044,0.0014294285491769933,0.0016400000000000858,0.0008107864628689831
5,1594445732.3338017,"g2mg_5_30",100000,5,"Genie_1.0",2,0,0.018037796020507812,0.0,0.4999950071500715,0.7070961794906451,0.0,6.931521805975116e-06,1.9996534430543636e-05,-9.933519711677897e-16,0.00011999999999989797,1.0000100001031003e-05
5,1594445740.1510425,"g2mg_10_30",100000,10,"Genie_0.3_approx",2,"6",7.757059097290039,5.328871573928658e-06,0.49999769117691173,0.7061582400680328,6.420404736279625e-06,0.0005995279765174111,0.0017047772879862943,0.001690530162572857,0.0023200000000000998,0.001161556485690786
5,1594445740.2036252,"g2mg_10_30",100000,10,"Genie_0.1_approx",2,0,0.028759002685546875,0.9528878744754634,0.9764439372393724,0.9764437402129954,0.9528878744757564,0.6285635263572193,0.9068265525278361,0.9068258804077594,0.9761599999999999,0.9736789611610586
5,1594445740.223566,"g2mg_10_30",100000,10,"Genie_0.3_approx",2,0,0.019103288650512695,5.328871573928658e-06,0.49999769117691173,0.7061582400680328,6.420404736279625e-06,0.0005995279765174111,0.0017047772879862943,0.001690530162572857,0.0023200000000000998,0.001161556485690786
5,1594445740.2410598,"g2mg_10_30",100000,10,"Genie_0.5_approx",2,0,0.01670074462890625,2.4378259043881314e-06,0.4999967671676717,0.7068075661917518,2.9409786182161044e-06,0.00029164726394081963,0.0008370660285198455,0.0008225506808819529,0.0018800000000001038,0.0004210513510573017
5,1594445740.2571542,"g2mg_10_30",100000,10,"Genie_0.7_approx",2,0,0.015308856964111328,1.4051721659182344e-06,0.49999624816248156,0.706913230853734,1.6955502358253232e-06,0.00018746722063545107,0.0005389813971247797,0.0005243328562510593,0.0015799999999999148,0.0002706352561912368
5,1594445740.272464,"g2mg_10_30",100000,10,"Genie_1.0_approx",2,0,0.014545679092407227,4.164330906382711e-08,0.49999556175561755,0.7070965716692684,5.026734125314951e-08,6.941927322090535e-06,2.002656860659224e-05,3.0034780304718925e-08,0.001060000000000061,1.0020921863727025e-05
5,1594445831.8497548,"g2mg_10_30",100000,10,"Genie_0.3_mlpack",2,1,91.57649374008179,5.328871573928658e-06,0.49999769117691173,0.7061582400680328,6.420404736279625e-06,0.0005995279765174111,0.0017047772879862943,0.001690530162572857,0.0023200000000000998,0.001161556485690786
5,1594445844.9834092,"g2mg_10_30",100000,10,"Genie_0.3_nomlpack",2,"6",13.13282060623169,5.328871573928658e-06,0.49999769117691173,0.7061582400680328,6.420404736279625e-06,0.0005995279765174111,0.0017047772879862943,0.001690530162572857,0.0023200000000000998,0.001161556485690786
5,1594445845.0363498,"g2mg_10_30",100000,10,"Genie_0.1",2,0,0.029218673706054688,0.9528878744754634,0.9764439372393724,0.9764437402129954,0.9528878744757564,0.6285635263572193,0.9068265525278361,0.9068258804077594,0.9761599999999999,0.9736789611610586
5,1594445845.0565696,"g2mg_10_30",100000,10,"Genie_0.3",2,0,0.019407033920288086,5.328871573928658e-06,0.49999769117691173,0.7061582400680328,6.420404736279625e-06,0.0005995279765174111,0.0017047772879862943,0.001690530162572857,0.0023200000000000998,0.001161556485690786
5,1594445845.0741343,"g2mg_10_30",100000,10,"Genie_0.5",2,0,0.01677227020263672,2.4378259043881314e-06,0.4999967671676717,0.7068075661917518,2.9409786182161044e-06,0.00029164726394081963,0.0008370660285198455,0.0008225506808819529,0.0018800000000001038,0.0004210513510573017
5,1594445845.0903986,"g2mg_10_30",100000,10,"Genie_0.7",2,0,0.015476465225219727,1.4051721659182344e-06,0.49999624816248156,0.706913230853734,1.6955502358253232e-06,0.00018746722063545107,0.0005389813971247797,0.0005243328562510593,0.0015799999999999148,0.0002706352561912368
5,1594445845.1058064,"g2mg_10_30",100000,10,"Genie_1.0",2,0,0.014629602432250977,4.164330906382711e-08,0.49999556175561755,0.7070965716692684,5.026734125314951e-08,6.941927322090535e-06,2.002656860659224e-05,3.0034780304718925e-08,0.001060000000000061,1.0020921863727025e-05
5,1594445856.6543365,"g2mg_25_30",100000,25,"Genie_0.3_approx",2,"6",11.454006433486938,2.808028110305391e-07,0.49999514575145754,0.706912450910892,3.3883066754894644e-07,0.00018718619859581231,0.0005381730206806713,0.0005235244798201429,0.0005399999999999849,0.0002700729196882989
5,1594445856.6789503,"g2mg_25_30",100000,25,"Genie_0.1_approx",2,0,0.02373051643371582,1.6239370257042306e-05,0.5000031608316082,0.7056538551931573,1.954602641321893e-05,0.0013173304281840492,0.0037215548827702143,0.003707447504447772,0.0040400000000000436,0.002024169789766941
5,1594445856.6961896,"g2mg_25_30",100000,25,"Genie_0.3_approx",2,0,0.016458511352539062,2.808028110305391e-07,0.49999514575145754,0.706912450910892,3.3883066754894644e-07,0.00018718619859581231,0.0005381730206806713,0.0005235244798201429,0.0005399999999999849,0.0002700729196882989
5,1594445856.7117653,"g2mg_25_30",100000,25,"Genie_0.5_approx",2,0,0.014786720275878906,4.851896804219947e-07,0.4999956497564976,0.7070188553737229,5.855779794382815e-07,8.32929241343372e-05,0.00023991620498514812,0.00022482404995657687,0.0011399999999999189,0.00012023062224982777
5,1594445856.726688,"g2mg_25_30",100000,25,"Genie_0.7_approx",2,0,0.014162540435791016,3.1065965844689515e-07,0.49999556175561755,0.7070470752506722,3.7495797527163196e-07,5.552701288613626e-05,0.00016002448711051174,0.00014443629496493565,0.001060000000000061,8.015054176010113e-05
5,1594445856.7411795,"g2mg_25_30",100000,25,"Genie_1.0_approx",2,0,0.013712406158447266,3.603242933073886e-08,0.4999954231542315,0.7070964736599461,4.349449199480718e-08,6.94052594873984e-06,2.0022521902418908e-05,2.598799198883418e-08,0.0009200000000000319,1.0018116395741384e-05
5,1594445883.6497836,"g2mg_25_30",100000,25,"Genie_0.3_nomlpack",2,"6",26.907673358917236,2.808028110305391e-07,0.49999514575145754,0.706912450910892,3.3883066754894644e-07,0.00018718619859581231,0.0005381730206806713,0.0005235244798201429,0.0005399999999999849,0.0002700729196882989
5,1594445883.6783175,"g2mg_25_30",100000,25,"Genie_0.1",2,0,0.027550458908081055,1.6239370257042306e-05,0.5000031608316082,0.7056538551931573,1.954602641321893e-05,0.0013173304281840492,0.0037215548827702143,0.003707447504447772,0.0040400000000000436,0.002024169789766941
5,1594445883.6968617,"g2mg_25_30",100000,25,"Genie_0.3",2,0,0.017716646194458008,2.808028110305391e-07,0.49999514575145754,0.706912450910892,3.3883066754894644e-07,0.00018718619859581231,0.0005381730206806713,0.0005235244798201429,0.0005399999999999849,0.0002700729196882989
5,1594445883.713153,"g2mg_25_30",100000,25,"Genie_0.5",2,0,0.015474796295166016,4.851896804219947e-07,0.4999956497564976,0.7070188553737229,5.855779794382815e-07,8.32929241343372e-05,0.00023991620498514812,0.00022482404995657687,0.0011399999999999189,0.00012023062224982777
5,1594445883.728328,"g2mg_25_30",100000,25,"Genie_0.7",2,0,0.014402151107788086,3.1065965844689515e-07,0.49999556175561755,0.7070470752506722,3.7495797527163196e-07,5.552701288613626e-05,0.00016002448711051174,0.00014443629496493565,0.001060000000000061,8.015054176010113e-05
