# The Sustainable Society Index 2016 by the Sustainable Society Foundation
#
# See Geurt Van de Kerk and Arthur R. Manuel, A comprehensive index for
# a sustainable society: The SSI -- The Sustainable Society Index,
# Ecological Economics 66(2-3), 2008, pp. 228-242,
# doi:10.1016/j.ecolecon.2008.01.029
# and
# http://www.ssfindex.com/ssi/calculation-methodology/
#
# This CSV file lists the 21 indicators, each mapped onto the 0-10 scale.
"Country","SufficientFood","SufficientWater","SafeSanitation","Education","HealthyLife","GenderEquality","IncomeDistribution","PopulationGrowth","GoodGovernance","Biodiversity","RenewableWaterResources","Consumption","EnergyUse","EnergySavings","GreenhouseGases","RenewableEnergy","OrganicFarming","GenuineSavings","GDP","Employment","PublicDebt"
"Cambodia",8.58,7.34,4.08,6.251887,6.34999999999999,6.62,8.2531946869273,4.77079671963903,3.59656207139293,5.5,9.95413,6.86722451301569,9.17,1.88346883468835,9.6021,6.68837024921321,1.39176608839498,6.76446202036884,2.24343448951156,9.60789438579648,8.72802798932966
"Cameroon",9.01,7.54,4.56,6.165826,5.05,6.56,4.09389017935243,2.69097698730238,3.11815853913625,4.21444920723065,9.96586,6.72272390990676,9.332,5.29585798816568,9.7346,7.01433106672596,1.00911721485075,3.82662053887234,2.00302048303541,6.50509082315841,8.35894754977033
"Canada",10,9.98,9.98,9.30349,8.71666666666667,7.4,6.00226760382609,5.96676109293549,8.3029891649882,5.85582286617219,9.8663,1,1,4.72396970086019,1,1.79102053276488,3.55745206899319,8.02537861216622,9.60360000811826,5.01576064282653,1
"Central African Republic",5.23,6.84,2.17,4.248902,4.31666666666667,6,1,4.02234805825552,1.58920685450236,7.58097370702109,9.9486,6.12266468867673,9.322,5.36337209302325,9.8466,8.34119150020235,1.27213150281566,7.63417391892829,1,4.77113910970922,4.96314115598721
"Chad",6.56,5.08,1.2,4.61944,4.35,5.8,2.53479605690484,1,2.38127613067627,6.96378176620076,9.8075,5.18874557160068,9.322,5.36337209302325,9.8466,8.34119150020235,1,7.63417391892829,1.64653562129034,4.9658530379141,7.81102676990433
"Chile",10,9.9,9.9,9.609261,8.41666666666667,6.98,1.40711088051889,5.99242415400465,7.36796654264132,7.20764383657966,9.6169,2.25674770463787,5.952,1.96675900277008,5.7494,2.64549416589653,1.28042582324352,7.16730108334481,7.97159750071639,5.27292419014396,9.41865787568819
"China",9.07,9.17,6.51,7.773834,8.08333333333333,6.82,2.66078341394452,7.0994990364551,4.13348583380381,7.97938962425708,7.877,6.45277119715843,5.53,1.41943734015346,3.3393,1.12364557918413,1.78929162608287,9.54240168732985,6.35134676556111,6.25002280203673,7.30705441633151
"Colombia",9.12,9.13,8.11,8.829638,7.53333333333333,7.25,1,6.19523692925398,4.48062558720509,6.81281433077963,9.95013,6.00006961819716,8.576,3.78497790868925,8.483,2.35171189534673,1.16570463618112,6.86988753470719,6.11929846836295,3.64218965677673,6.8799761831725
"Congo",6.95,7.63,1.49,6.701713,6.1,6,3.98811639486269,2.65301127273817,3.00525655349096,7.47547584187409,9.945,7.26922367358657,8.834,1,9.4142,5.95324858558213,1.27213150281566,1,3.73054057723967,5.22045776761016,1.62379081500174
"Congo Democratic Rep.",10,5.21,2.83,5.944769,5.3,6,3.39222013639487,1,1.92039302984873,5.59126846303117,9.945,7.52502136046687,9.232,1,9.9378,9.43205927906323,1.84973161031839,1,1,4.49328964117222,9.41923195675349
