"method","user.self","sys.self","elapsed","Δdist","Σdist","Δidx","n","d","k","nthreads","time"
"r_genieclust_fastmst",0.016,0,0.016,0,4489.32724425109,0,10000,5,1,1,1750757260
"pico_tree",0.0129999999999999,0,0.0139999999999993,0,4489.32724425109,0,10000,5,1,1,1750757260
"r_dbscan",0.036,0,0.0359999999999996,0,4489.32724425109,0,10000,5,1,1,1750757260
"r_rann_kd",0.04,0,0.0409999999999986,0,4489.32724425109,0,10000,5,1,1,1750757260
"r_rann_bd",0.0569999999999999,0,0.0570000000000004,0,4489.32724425109,0,10000,5,1,1,1750757260
"r_Rnanoflann",3.377,0,3.377,0,4489.32724425109,0,10000,5,1,1,1750757260
"r_nabor",0.0169999999999995,0,0.0170000000000012,0,4489.32724425109,0,10000,5,1,1,1750757260
"py_genieclust_fastmst",0.0150000000000006,0,0.016,0,4489.32724425109,0,10000,5,1,1,1750757260
"py_pykdtree",0.0219999999999994,0,0.0210000000000008,0,4489.32724425109,0,10000,5,1,1,1750757260
"py_sklearn_neighbours",0.0899999999999999,0.00600000000000001,0.0960000000000001,0,4489.32724425109,0,10000,5,1,1,1750757260
"r_genieclust_brute",0.145,0,0.144,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_genieclust_fastmst",0.016,0,0.016,0,4489.32724425109,0,10000,5,1,1,1750757264
"pico_tree",0.0129999999999999,0,0.0139999999999993,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_dbscan",0.036,0,0.0359999999999996,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_rann_kd",0.04,0,0.0409999999999986,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_rann_bd",0.0569999999999999,0,0.0570000000000004,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_Rnanoflann",3.377,0,3.377,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_nabor",0.0169999999999995,0,0.0170000000000012,0,4489.32724425109,0,10000,5,1,1,1750757264
