# hades 2025-06-25 **testing only**
#
# GNU/Linux 6.13.6-1-default #1 SMP PREEMPT_DYNAMIC Mon Mar 10 08:49:24 UTC 2025 (495d82a) x86_64 openSUSE Tumbleweed
# Intel Core i5-1335U (AVX2-VNNI) (12 threads, 2 performance cores, 8 efficient cores), 12MB cache
# 32 GB RAM
# gcc 14.2.1
# Python 3.11.11 [gcc] OpenBLAS 0.3.29
# R version 4.4.3 (2025-02-28) Rblas
#
# Python modules (via reticulate):
# numba           0.61.2
# cython          3.1.2
# numpy           2.2.6
# scipy           1.15.3
# sklearn         1.7.0
# pykdtree        1.4.1*
#
# R packages:
# RANN            2.6.2*
# nabor           0.5.0*
# dbscan          1.2.2*
# mlpack          4.6.2*
# reticulate     1.42.0*
#
# Other:
# pico_tree       1.0.0*
#
# * - compiled with -O3 -march=native
#
"method","user.self","sys.self","elapsed","Δdist","Σdist","Δidx","n","d","k","nthreads","time","host"
"r_genieclust_kdtree",1.339,0.002,1.33999999999999,0,834842.701748508,0,524288,4,10,1,1750855921,"hades"
"pico_tree",2.56799999999999,0.004,2.575,0,834842.701748508,0,524288,4,10,1,1750855921,"hades"
"r_genieclust_kdtree",2.589,0.018,2.60899999999999,0,1407636.8332737,0,1048576,4,10,1,1750855931,"hades"
"pico_tree",6.747,0.021,6.768,0,1407636.8332737,0,1048576,4,10,1,1750855931,"hades"
"r_genieclust_kdtree",2.572,0.02,2.59299999999999,0,1407636.8332737,0,1048576,4,10,1,1750855940,"hades"
"pico_tree",6.678,0.021,6.7,0,1407636.8332737,0,1048576,4,10,1,1750855940,"hades"
"r_genieclust_kdtree",2.571,0.023,2.596,0,1407636.8332737,0,1048576,4,10,1,1750855950,"hades"
"pico_tree",6.697,0.0239999999999999,6.72499999999999,0,1407636.8332737,0,1048576,4,10,1,1750855950,"hades"
"r_genieclust_kdtree",0.694000000000003,0,0.694000000000003,0,514212.860549947,0,131072,5,10,1,1750855952,"hades"
"pico_tree",0.689999999999998,0.001,0.691000000000003,0,514212.860549947,0,131072,5,10,1,1750855952,"hades"
"r_genieclust_kdtree",0.695999999999998,0,0.697999999999993,0,514212.860549947,0,131072,5,10,1,1750855953,"hades"
"pico_tree",0.692999999999998,0,0.692999999999998,0,514212.860549947,0,131072,5,10,1,1750855953,"hades"
"r_genieclust_kdtree",0.694000000000003,0,0.694000000000003,0,514212.860549947,0,131072,5,10,1,1750855955,"hades"
"pico_tree",0.679000000000002,0,0.679000000000002,0,514212.860549947,0,131072,5,10,1,1750855955,"hades"
"r_genieclust_kdtree",1.43300000000001,0.004,1.438,0,896537.663787567,0,262144,5,10,1,1750855958,"hades"
"pico_tree",2.03399999999999,0.005,2.041,0,896537.663787567,0,262144,5,10,1,1750855958,"hades"
"r_genieclust_kdtree",1.43300000000001,0.002,1.43600000000001,0,896537.663787567,0,262144,5,10,1,1750855962,"hades"
"pico_tree",2.077,0.004,2.081,0,896537.663787567,0,262144,5,10,1,1750855962,"hades"
"r_genieclust_kdtree",1.434,0.001,1.43400000000001,0,896537.663787567,0,262144,5,10,1,1750855966,"hades"
"pico_tree",2.11799999999999,0.004,2.122,0,896537.663787567,0,262144,5,10,1,1750855966,"hades"
"r_genieclust_kdtree",2.95699999999999,0.004,2.962,0,1564565.0636168,0,524288,5,10,1,1750855975,"hades"
"pico_tree",5.836,0.005,5.84699999999999,0,1564565.0636168,0,524288,5,10,1,1750855975,"hades"
"r_genieclust_kdtree",2.953,0.003,2.95800000000001,0,1564565.0636168,0,524288,5,10,1,1750855984,"hades"
"pico_tree",5.874,0.004,5.87699999999998,0,1564565.0636168,0,524288,5,10,1,1750855984,"hades"
"r_genieclust_kdtree",2.96299999999999,0.002,2.965,0,1564565.0636168,0,524288,5,10,1,1750855993,"hades"
"pico_tree",5.904,0.001,5.904,0,1564565.0636168,0,524288,5,10,1,1750855993,"hades"
"r_genieclust_kdtree",5.91899999999998,0.02,5.94200000000001,0,2729657.81542252,0,1048576,5,10,1,1750856014,"hades"
"pico_tree",13.626,0.022,13.652,0,2729657.81542252,0,1048576,5,10,1,1750856014,"hades"
"r_genieclust_kdtree",5.91399999999999,0.0259999999999999,5.94,0,2729657.81542252,0,1048576,5,10,1,1750856033,"hades"
"pico_tree",13.713,0.029,13.751,0,2729657.81542252,0,1048576,5,10,1,1750856033,"hades"
"r_genieclust_kdtree",5.964,0.028,5.994,0,2729657.81542252,0,1048576,5,10,1,1750856053,"hades"
"pico_tree",13.573,0.026,13.611,0,2729657.81542252,0,1048576,5,10,1,1750856053,"hades"
"r_genieclust_kdtree",1.48999999999998,0.00500000000000012,1.49700000000001,0,757267.262920544,0,131072,6,10,1,1750856056,"hades"
"pico_tree",1.32299999999998,0.00299999999999989,1.328,0,757267.262920544,0,131072,6,10,1,1750856056,"hades"
"r_genieclust_kdtree",1.505,0.004,1.51000000000002,0,757267.262920544,0,131072,6,10,1,1750856059,"hades"
"pico_tree",1.333,0.00299999999999989,1.33599999999998,0,757267.262920544,0,131072,6,10,1,1750856059,"hades"
"r_genieclust_kdtree",1.49099999999999,0.00600000000000001,1.49699999999999,0,757267.262920544,0,131072,6,10,1,1750856062,"hades"
"pico_tree",1.33700000000002,0.004,1.34,0,757267.262920544,0,131072,6,10,1,1750856062,"hades"
"r_genieclust_kdtree",3.16900000000001,0.002,3.17400000000001,0,1351268.77052424,0,262144,6,10,1,1750856070,"hades"
"pico_tree",4.43199999999999,0.004,4.43899999999999,0,1351268.77052424,0,262144,6,10,1,1750856070,"hades"
"r_genieclust_kdtree",3.16999999999999,0.004,3.17699999999999,0,1351268.77052424,0,262144,6,10,1,1750856078,"hades"
"pico_tree",4.476,0.002,4.47800000000001,0,1351268.77052424,0,262144,6,10,1,1750856078,"hades"
"r_genieclust_kdtree",3.18000000000001,0.002,3.18200000000002,0,1351268.77052424,0,262144,6,10,1,1750856086,"hades"
"pico_tree",4.60499999999999,0.00300000000000011,4.60999999999999,0,1351268.77052424,0,262144,6,10,1,1750856086,"hades"
"r_genieclust_kdtree",6.797,0.0069999999999999,6.80600000000001,0,2413914.94666158,0,524288,6,10,1,1750856106,"hades"
"pico_tree",12.602,0.048,12.652,0,2413914.94666158,0,524288,6,10,1,1750856106,"hades"
"r_genieclust_kdtree",6.65200000000002,0.114,6.76499999999999,0,2413914.94666158,0,524288,6,10,1,1750856125,"hades"
"pico_tree",12.387,0.002,12.388,0,2413914.94666158,0,524288,6,10,1,1750856125,"hades"
"r_genieclust_kdtree",6.75900000000001,0.002,6.75999999999999,0,2413914.94666158,0,524288,6,10,1,1750856145,"hades"
"pico_tree",12.39,0.004,12.393,0,2413914.94666158,0,524288,6,10,1,1750856145,"hades"
"r_genieclust_kdtree",13.973,0.024,13.996,0,4310591.03723355,0,1048576,6,10,1,1750856189,"hades"
"pico_tree",29.712,0.0290000000000001,29.749,0,4310591.03723355,0,1048576,6,10,1,1750856189,"hades"
"r_genieclust_kdtree",13.947,0.024,13.977,0,4310591.03723355,0,1048576,6,10,1,1750856233,"hades"
"pico_tree",29.581,0.026,29.618,0,4310591.03723355,0,1048576,6,10,1,1750856233,"hades"
"r_genieclust_kdtree",13.98,0.026,14.006,0,4310591.03723355,0,1048576,6,10,1,1750856277,"hades"
"pico_tree",29.533,0.0299999999999998,29.56,0,4310591.03723355,0,1048576,6,10,1,1750856277,"hades"
"r_genieclust_kdtree",3.19,0.00600000000000023,3.19599999999997,0,1010567.8333786,0,131072,7,10,1,1750856283,"hades"
"pico_tree",2.755,0.00099999999999989,2.75500000000005,0,1010567.8333786,0,131072,7,10,1,1750856283,"hades"
"r_genieclust_kdtree",3.19400000000002,0.00600000000000023,3.19999999999999,0,1010567.8333786,0,131072,7,10,1,1750856289,"hades"
"pico_tree",2.71100000000001,0.00199999999999978,2.71299999999997,0,1010567.8333786,0,131072,7,10,1,1750856289,"hades"
"r_genieclust_kdtree",3.18700000000001,0.00600000000000001,3.19600000000003,0,1010567.8333786,0,131072,7,10,1,1750856295,"hades"
"pico_tree",2.81100000000004,0.00099999999999989,2.81299999999999,0,1010567.8333786,0,131072,7,10,1,1750856295,"hades"
"r_genieclust_kdtree",7.01600000000002,0.00200000000000022,7.01800000000003,0,1833277.89738112,0,262144,7,10,1,1750856313,"hades"
"pico_tree",10.145,0.00800000000000001,10.151,0,1833277.89738112,0,262144,7,10,1,1750856313,"hades"
"r_genieclust_kdtree",7.01400000000001,0,7.01300000000003,0,1833277.89738112,0,262144,7,10,1,1750856330,"hades"
"pico_tree",10.136,0.00299999999999989,10.138,0,1833277.89738112,0,262144,7,10,1,1750856330,"hades"
"r_genieclust_kdtree",6.99799999999999,0.002,7.00299999999999,0,1833277.89738112,0,262144,7,10,1,1750856348,"hades"
"pico_tree",10.179,0.002,10.181,0,1833277.89738112,0,262144,7,10,1,1750856348,"hades"
"r_genieclust_kdtree",15.053,0.014,15.067,0,3328112.05944841,0,524288,7,10,1,1750856390,"hades"
"pico_tree",27.446,0.014,27.4739999999999,0,3328112.05944841,0,524288,7,10,1,1750856390,"hades"
"r_genieclust_kdtree",15.163,0.0129999999999999,15.1850000000001,0,3328112.05944841,0,524288,7,10,1,1750856434,"hades"
"pico_tree",28.3309999999999,0.0140000000000002,28.355,0,3328112.05944841,0,524288,7,10,1,1750856434,"hades"
"r_genieclust_kdtree",15.187,0.0129999999999999,15.2090000000001,0,3328112.05944841,0,524288,7,10,1,1750856478,"hades"
"pico_tree",27.837,0.0180000000000002,27.8670000000001,0,3328112.05944841,0,524288,7,10,1,1750856478,"hades"
"r_genieclust_kdtree",32.498,0.0330000000000001,32.54,0,6038977.6447939,0,1048576,7,10,1,1750856575,"hades"
"pico_tree",64.5839999999999,0.0529999999999999,64.6519999999999,0,6038977.6447939,0,1048576,7,10,1,1750856575,"hades"
"r_genieclust_kdtree",32.71,0.0270000000000001,32.742,0,6038977.6447939,0,1048576,7,10,1,1750856674,"hades"
"pico_tree",65.319,0.036,65.3729999999999,0,6038977.6447939,0,1048576,7,10,1,1750856674,"hades"
"r_genieclust_kdtree",32.4639999999999,0.0279999999999998,32.502,0,6038977.6447939,0,1048576,7,10,1,1750856772,"hades"
"pico_tree",64.939,0.331,65.28,0,6038977.6447939,0,1048576,7,10,1,1750856772,"hades"
"r_genieclust_kdtree",6.11699999999996,0.00600000000000023,6.12800000000004,0,1265586.61293367,0,131072,8,10,1,1750856784,"hades"
"pico_tree",5.45499999999993,0.00199999999999978,5.45900000000006,0,1265586.61293367,0,131072,8,10,1,1750856784,"hades"
"r_genieclust_kdtree",6.13099999999997,0,6.13400000000001,0,1265586.61293367,0,131072,8,10,1,1750856796,"hades"
"pico_tree",5.43399999999997,0,5.43400000000008,0,1265586.61293367,0,131072,8,10,1,1750856796,"hades"
"r_genieclust_kdtree",6.19600000000003,0,6.197,0,1265586.61293367,0,131072,8,10,1,1750856807,"hades"
"pico_tree",5.48099999999999,0.00100000000000033,5.48000000000002,0,1265586.61293367,0,131072,8,10,1,1750856807,"hades"
"r_genieclust_kdtree",14.2239999999999,0,14.223,0,2324212.53131394,0,262144,8,10,1,1750856843,"hades"
"pico_tree",20.985,0.004,20.992,0,2324212.53131394,0,262144,8,10,1,1750856843,"hades"
"r_genieclust_kdtree",14.221,0,14.222,0,2324212.53131394,0,262144,8,10,1,1750856878,"hades"
"pico_tree",20.586,0,20.5890000000001,0,2324212.53131394,0,262144,8,10,1,1750856878,"hades"
"r_genieclust_kdtree",14.264,0.00100000000000033,14.2640000000001,0,2324212.53131394,0,262144,8,10,1,1750856913,"hades"
"pico_tree",20.799,0.00199999999999978,20.8009999999999,0,2324212.53131394,0,262144,8,10,1,1750856913,"hades"
"r_genieclust_kdtree",31.6879999999999,0.0209999999999999,31.7169999999999,0,4271582.91546852,0,524288,8,10,1,1750857001,"hades"
"pico_tree",56.0829999999999,0.0230000000000001,56.1270000000002,0,4271582.91546852,0,524288,8,10,1,1750857001,"hades"
"r_genieclust_kdtree",31.4290000000001,0.353,31.7830000000001,0,4271582.91546852,0,524288,8,10,1,1750857089,"hades"
"pico_tree",55.885,0.125,56.0240000000001,0,4271582.91546852,0,524288,8,10,1,1750857089,"hades"
"r_genieclust_kdtree",31.8810000000001,0.0209999999999999,31.912,0,4271582.91546852,0,524288,8,10,1,1750857178,"hades"
"pico_tree",55.9930000000002,0.0310000000000001,56.0339999999999,0,4271582.91546852,0,524288,8,10,1,1750857178,"hades"
