# apollo 2025-06-30 21:00
#
# GNU/Linux 6.13.0-1-default #1 SMP PREEMPT_DYNAMIC Mon Jan 20 07:26:08 UTC 2025 (1513344) x86_64 openSUSE Tumbleweed
# Intel Core i7-1355U (AVX2-VNNI) (12 threads, 2 performance cores, 8 efficient cores), 12MB cache
# 32 GB RAM
# gcc 14.2.1
# Python 3.11.11 [gcc] OpenBLAS 0.3.29
# R version 4.4.2 (2024-10-31) Rblas
#
# Python modules:
#                numba 0.61.2
#               cython 3.1.2
#                numpy 2.2.6
#                scipy 1.16.0
#              sklearn 1.7.0
#               mlpack 4.6.1
#              hdbscan 0.8.40
#         fast_hdbscan 0.2.2* (because numba)
#                 rpy2 3.6.1
#
# R packages (via rpy2):
#               mlpack 4.6.2*
#
#
# * - compiled with -O3 -march=native
method,elapsed,Δdist,Σdist,Δidx,n,d,M,s,nthreads,trial,seed,time,host
r_quitefast_default,0.7253954410552979,0.0,9221.059928717787,0,1208592,2,10,norm,10,3,123,1751310930,apollo
quitefast_kdtree_single,1.0521714687347412,0.0,33577.92692205433,0,1208592,3,1,norm,10,1,123,1751310931,apollo
quitefast_kdtree_dual,3.3490238189697266,0.0,33577.92692205433,0,1208592,3,1,norm,10,1,123,1751310934,apollo
fasthdbscan_kdtree,19.174694061279297,2.299930201843381e-08,33577.92692207733,4,1208592,3,1,norm,10,1,123,1751310954,apollo
hdbscan_kdtree,33.817838191986084,0.0,33577.92692205433,0,1208592,3,1,norm,10,1,123,1751310988,apollo
r_quitefast_default,1.0925688743591309,0.0,33577.92692205433,0,1208592,3,1,norm,10,1,123,1751310989,apollo
quitefast_kdtree_single,1.085623025894165,0.0,33577.92692205433,0,1208592,3,1,norm,10,2,123,1751310990,apollo
quitefast_kdtree_dual,3.4199936389923096,0.0,33577.92692205433,0,1208592,3,1,norm,10,2,123,1751310994,apollo
fasthdbscan_kdtree,20.490830183029175,2.299930201843381e-08,33577.92692207733,4,1208592,3,1,norm,10,2,123,1751311014,apollo
hdbscan_kdtree,35.158069133758545,0.0,33577.92692205433,0,1208592,3,1,norm,10,2,123,1751311049,apollo
r_quitefast_default,1.1039273738861084,0.0,33577.92692205433,0,1208592,3,1,norm,10,2,123,1751311051,apollo
quitefast_kdtree_single,1.032348394393921,0.0,33577.92692205433,0,1208592,3,1,norm,10,3,123,1751311052,apollo
quitefast_kdtree_dual,3.3424720764160156,0.0,33577.92692205433,0,1208592,3,1,norm,10,3,123,1751311055,apollo
fasthdbscan_kdtree,20.30256414413452,2.299930201843381e-08,33577.92692207733,4,1208592,3,1,norm,10,3,123,1751311076,apollo
hdbscan_kdtree,35.017354011535645,0.0,33577.92692205433,0,1208592,3,1,norm,10,3,123,1751311111,apollo
r_quitefast_default,1.0579555034637451,0.0,33577.92692205433,0,1208592,3,1,norm,10,3,123,1751311112,apollo
quitefast_kdtree_single,0.8351726531982422,0.0,66533.07176375248,0,1208592,3,10,norm,10,1,123,1751311113,apollo
quitefast_kdtree_dual,3.8540117740631104,0.0,66533.07176375248,0,1208592,3,10,norm,10,1,123,1751311117,apollo
fasthdbscan_kdtree,7.237720489501953,-6.257323548197746e-10,66533.07176375185,12073,1208592,3,10,norm,10,1,123,1751311124,apollo
hdbscan_kdtree,29.01957941055298,-1.4551915228366852e-11,66533.07176375246,13287,1208592,3,10,norm,10,1,123,1751311153,apollo
r_quitefast_default,0.8479976654052734,0.0,66533.07176375248,0,1208592,3,10,norm,10,1,123,1751311154,apollo
quitefast_kdtree_single,0.8112468719482422,0.0,66533.07176375248,0,1208592,3,10,norm,10,2,123,1751311155,apollo
quitefast_kdtree_dual,3.866522789001465,0.0,66533.07176375248,0,1208592,3,10,norm,10,2,123,1751311159,apollo
fasthdbscan_kdtree,7.001358985900879,-6.257323548197746e-10,66533.07176375185,12098,1208592,3,10,norm,10,2,123,1751311166,apollo
hdbscan_kdtree,28.05624794960022,-1.4551915228366852e-11,66533.07176375246,13287,1208592,3,10,norm,10,2,123,1751311194,apollo
r_quitefast_default,0.8704743385314941,0.0,66533.07176375248,0,1208592,3,10,norm,10,2,123,1751311195,apollo
quitefast_kdtree_single,0.8027517795562744,0.0,66533.07176375248,0,1208592,3,10,norm,10,3,123,1751311196,apollo
quitefast_kdtree_dual,3.846374988555908,0.0,66533.07176375248,0,1208592,3,10,norm,10,3,123,1751311200,apollo
fasthdbscan_kdtree,7.147099494934082,-6.257323548197746e-10,66533.07176375185,12106,1208592,3,10,norm,10,3,123,1751311207,apollo
hdbscan_kdtree,29.313270330429077,-1.4551915228366852e-11,66533.07176375246,13287,1208592,3,10,norm,10,3,123,1751311237,apollo
r_quitefast_default,0.846158504486084,0.0,66533.07176375248,0,1208592,3,10,norm,10,3,123,1751311238,apollo
quitefast_kdtree_single,3.358459949493408,0.0,227399.07134935548,0,1208592,5,1,norm,10,1,123,1751311241,apollo
quitefast_kdtree_dual,21.82136845588684,0.0,227399.07134935548,0,1208592,5,1,norm,10,1,123,1751311263,apollo
fasthdbscan_kdtree,63.19591951370239,8.556526154279709e-09,227399.07134936404,2,1208592,5,1,norm,10,1,123,1751311326,apollo
hdbscan_kdtree,202.95241570472717,0.0,227399.07134935548,0,1208592,5,1,norm,10,1,123,1751311530,apollo
r_quitefast_default,2.8951468467712402,0.0,227399.07134935548,0,1208592,5,1,norm,10,1,123,1751311532,apollo
quitefast_kdtree_single,2.871405839920044,0.0,227399.07134935548,0,1208592,5,1,norm,10,2,123,1751311535,apollo
quitefast_kdtree_dual,21.774219512939453,0.0,227399.07134935548,0,1208592,5,1,norm,10,2,123,1751311557,apollo
fasthdbscan_kdtree,63.98726725578308,8.556526154279709e-09,227399.07134936404,2,1208592,5,1,norm,10,2,123,1751311621,apollo
hdbscan_kdtree,203.4212052822113,0.0,227399.07134935548,0,1208592,5,1,norm,10,2,123,1751311825,apollo
r_quitefast_default,2.9095029830932617,0.0,227399.07134935548,0,1208592,5,1,norm,10,2,123,1751311828,apollo
quitefast_kdtree_single,2.8495655059814453,0.0,227399.07134935548,0,1208592,5,1,norm,10,3,123,1751311831,apollo
