"timestamp","dataset","method","n_clusters","n_threads","elapsed_time"
1594375224.1371317,"g2mg/g2mg_128_30","sklearn_kmeans",1000,1,9.84579849243164
1594375224.2800338,"g2mg/g2mg_128_30","Genie_0.3",1000,3,0.12257218360900879
1594375224.4974658,"g2mg/g2mg_128_30","Genie_0.3_approx",1000,3,0.21740365028381348
1594375234.4157655,"g2mg/g2mg_128_30","sklearn_kmeans",1000,3,9.918266773223877
1594375234.5192997,"g2mg/g2mg_128_30","Genie_0.3",1000,6,0.08257055282592773
1594375234.674567,"g2mg/g2mg_128_30","Genie_0.3_approx",1000,6,0.15523457527160645
1594375244.746648,"g2mg/g2mg_128_30","sklearn_kmeans",1000,6,10.072046518325806
1594375244.8736773,"g2mg/g2mg_128_30","Genie_0.3",1000,12,0.10628843307495117
1594375245.0075345,"g2mg/g2mg_128_30","Genie_0.3_approx",1000,12,0.13373804092407227
1594375254.9403653,"g2mg/g2mg_128_30","sklearn_kmeans",1000,12,9.932791709899902
1594375254.9408944,"g2mg/g2mg_128_30","Genie_0.1",10,0,0.00048422813415527344
1594375254.9412057,"g2mg/g2mg_128_30","Genie_0.3",10,0,0.0002930164337158203
1594375254.941514,"g2mg/g2mg_128_30","Genie_0.5",10,0,0.0002925395965576172
1594375254.9419277,"g2mg/g2mg_128_30","Genie_0.1",100,0,0.0003974437713623047
1594375254.9422226,"g2mg/g2mg_128_30","Genie_0.3",100,0,0.00028014183044433594
1594375254.94251,"g2mg/g2mg_128_30","Genie_0.5",100,0,0.0002727508544921875
1594375254.942776,"g2mg/g2mg_128_30","Genie_0.1",1000,0,0.00025081634521484375
1594375254.9430046,"g2mg/g2mg_128_30","Genie_0.3",1000,0,0.00021386146545410156
1594375254.9432309,"g2mg/g2mg_128_30","Genie_0.5",1000,0,0.00021195411682128906
1594375255.0787802,"wut/trajectories","Genie_0.3",10,1,0.039522409439086914
1594375256.0612655,"wut/trajectories","Genie_0.3_approx",10,1,0.9824552536010742
1594375256.1675856,"wut/trajectories","sklearn_kmeans",10,1,0.10628724098205566
1594375256.2248373,"wut/trajectories","Genie_0.3",10,3,0.036995887756347656
1594375256.6201553,"wut/trajectories","Genie_0.3_approx",10,3,0.39528799057006836
1594375256.7337375,"wut/trajectories","sklearn_kmeans",10,3,0.11354875564575195
1594375256.7918189,"wut/trajectories","Genie_0.3",10,6,0.03781580924987793
1594375257.0684273,"wut/trajectories","Genie_0.3_approx",10,6,0.2765793800354004
1594375257.1811707,"wut/trajectories","sklearn_kmeans",10,6,0.11270856857299805
1594375257.2389982,"wut/trajectories","Genie_0.3",10,12,0.037012338638305664
1594375257.4973168,"wut/trajectories","Genie_0.3_approx",10,12,0.2582888603210449
1594375257.6618617,"wut/trajectories","sklearn_kmeans",10,12,0.16451168060302734
1594375257.7208786,"wut/trajectories","Genie_0.3",100,1,0.03690814971923828
1594375258.687802,"wut/trajectories","Genie_0.3_approx",100,1,0.9668936729431152
1594375259.6689916,"wut/trajectories","sklearn_kmeans",100,1,0.9811539649963379
1594375259.7257116,"wut/trajectories","Genie_0.3",100,3,0.03654885292053223
1594375260.1196191,"wut/trajectories","Genie_0.3_approx",100,3,0.3938789367675781
1594375261.1000443,"wut/trajectories","sklearn_kmeans",100,3,0.9803874492645264
1594375261.1571038,"wut/trajectories","Genie_0.3",100,6,0.03664374351501465
1594375261.4299414,"wut/trajectories","Genie_0.3_approx",100,6,0.2728095054626465
1594375262.384626,"wut/trajectories","sklearn_kmeans",100,6,0.9546520709991455
1594375262.4419024,"wut/trajectories","Genie_0.3",100,12,0.03654170036315918
1594375262.693887,"wut/trajectories","Genie_0.3_approx",100,12,0.2519564628601074
1594375263.776176,"wut/trajectories","sklearn_kmeans",100,12,1.0822508335113525
1594375263.8356462,"wut/trajectories","Genie_0.3",1000,1,0.036965131759643555
1594375264.799003,"wut/trajectories","Genie_0.3_approx",1000,1,0.963327169418335
1594375274.8346922,"wut/trajectories","sklearn_kmeans",1000,1,10.035651683807373
1594375274.893994,"wut/trajectories","Genie_0.3",1000,3,0.03870987892150879
1594375275.2884278,"wut/trajectories","Genie_0.3_approx",1000,3,0.39440250396728516
1594375285.071226,"wut/trajectories","sklearn_kmeans",1000,3,9.782760858535767
1594375285.1301658,"wut/trajectories","Genie_0.3",1000,6,0.038664817810058594
1594375285.4001493,"wut/trajectories","Genie_0.3_approx",1000,6,0.26995301246643066
1594375295.168638,"wut/trajectories","sklearn_kmeans",1000,6,9.768454313278198
1594375295.2281203,"wut/trajectories","Genie_0.3",1000,12,0.038724422454833984
1594375295.4895275,"wut/trajectories","Genie_0.3_approx",1000,12,0.26137709617614746
1594375309.5604937,"wut/trajectories","sklearn_kmeans",1000,12,14.070926427841187
1594375309.5641618,"wut/trajectories","Genie_0.1",10,0,0.0035905838012695312
1594375309.5682716,"wut/trajectories","Genie_0.3",10,0,0.0040667057037353516
1594375309.5727952,"wut/trajectories","Genie_0.5",10,0,0.004496574401855469
1594375309.5762217,"wut/trajectories","Genie_0.1",100,0,0.0034008026123046875
1594375309.5801263,"wut/trajectories","Genie_0.3",100,0,0.003879547119140625
1594375309.5844195,"wut/trajectories","Genie_0.5",100,0,0.00426936149597168
1594375309.5871344,"wut/trajectories","Genie_0.1",1000,0,0.0026922225952148438
1594375309.5903559,"wut/trajectories","Genie_0.3",1000,0,0.003198862075805664
1594375309.5939937,"wut/trajectories","Genie_0.5",1000,0,0.0036156177520751953
1594375310.5237849,"sipu/birch1","Genie_0.3",10,1,0.5250296592712402
1594375320.8112557,"sipu/birch1","Genie_0.3_approx",10,1,10.287434816360474
1594375322.003191,"sipu/birch1","sklearn_kmeans",10,1,1.1919002532958984
1594375322.5447657,"sipu/birch1","Genie_0.3",10,3,0.5207290649414062
1594375326.9616916,"sipu/birch1","Genie_0.3_approx",10,3,4.416889667510986
1594375327.7534044,"sipu/birch1","sklearn_kmeans",10,3,0.7916579246520996
1594375328.295103,"sipu/birch1","Genie_0.3",10,6,0.5208704471588135
1594375331.1573288,"sipu/birch1","Genie_0.3_approx",10,6,2.8621890544891357
1594375332.0421672,"sipu/birch1","sklearn_kmeans",10,6,0.8848025798797607
1594375332.582805,"sipu/birch1","Genie_0.3",10,12,0.5195918083190918
1594375335.0530858,"sipu/birch1","Genie_0.3_approx",10,12,2.470245599746704
1594375336.057849,"sipu/birch1","sklearn_kmeans",10,12,1.0047285556793213
1594375336.5997312,"sipu/birch1","Genie_0.3",100,1,0.5205020904541016
