# The Sustainable Society Index 2016 by the Sustainable Society Foundation
#
# See Geurt Van de Kerk and Arthur R. Manuel, A comprehensive index for
# a sustainable society: The SSI -- The Sustainable Society Index,
# Ecological Economics 66(2-3), 2008, pp. 228-242,
# doi:10.1016/j.ecolecon.2008.01.029
# and
# http://www.ssfindex.com/ssi/calculation-methodology/
#
# This CSV file lists the 7 SSI categories, being the geometric means
# of the underlying 9+7+5 categories.
"Country","BasicNeeds","PersonalDevelopmentAndHealth","WellBalancedSociety","NaturalResources","ClimateAndEnergy","Transition","Economy"
"Niger",3.84370004694154,5.0586225395403,3.03952299829729,7.25359680554468,6.45068639289941,2.79015287192021,3.52426461465547
"Nigeria",5.68982734683057,5.47326212943454,2.66060805212325,5.73778581067651,7.49930184821855,2.96167221451661,5.36231360733737
"Norway",9.93626126721644,8.96905692938046,7.54426339485949,3.99218888146844,3.4396236741326,8.13456117896057,8.63683573087551
"Oman",9.66624466383411,7.13629166081168,3.27835465119608,2.6996518270222,1.65034533079218,1.00474428049507,7.35752530482013
"Pakistan",7.6064956009313,5.57104977845582,4.51407922621308,4.75193962225238,6.55602387809906,3.27324771981408,3.96755504222643
"Panama",8.60185826078397,7.60439640699425,2.93158564199107,6.98798936173334,4.13436875457321,4.74658788394359,7.50040051019106
"Papua New Guinea",4.22837923923894,5.42171563418922,3.23029739875507,5.63179211014093,4.00350287811087,5.48546162872704,4.69879107696903
"Paraguay",9.12556754535908,7.1083120756721,3.00928262880409,3.79504872226819,7.69265770155566,3.65527504597004,6.39682328026824
"Peru",8.44321713304814,7.57717160131635,3.54632712980746,6.8374554992249,3.47828213272285,5.46311406036837,7.00317694903483
"Philippines",8.33648092652472,7.72336834076038,4.48296862816755,8.0973352374502,5.16399464027528,5.19111157233576,5.52230391129188
"Poland",9.84932785917494,8.26594964897206,7.33169995089761,6.44596513218691,3.10150060741015,7.66256464451789,5.98951259960418
"Portugal",9.98998998329993,8.52863779377191,6.47895699601009,5.39565495140875,5.04817113754838,7.24514706511033,2.74204575123479
"Qatar",9.93288388379269,6.85389715709119,1.83912839753243,2.66370256305299,1,3.07703320030049,8.95240604225437
"Romania",9.24433546537648,7.73360023747401,7.39659003142044,6.51254622106023,4.96426508588694,6.55640886352317,6.79146851626497
"Russia",8.87742458387499,7.73326511395718,4.75601820893932,5.02013515513258,1.44474013658635,3.30880286838912,7.73932882562047
"Rwanda",6.79676431987824,6.70753979265658,3.0188289537342,7.47928798912792,8.00507404876701,3.04930328792702,4.55885321793075
"Saudi Arabia",9.89898299249129,7.53811796299603,4.55498422501228,2.83886952198587,1.39894900274045,3.13176522585647,8.10243520248904
"Senegal",6.90898640087869,5.93558847183791,2.75669747113685,7.97633330532897,7.39454609298902,3.16886366035709,3.15991441004353
"Serbia",9.85552268307427,7.83743280929555,7.0648776133961,6.61863835660674,4.37304709036365,3.4855463521713,2.20577125125493
"Sierra Leone",3.97274791934718,4.88911894665634,4.3675456672179,6.4016035174575,8.00507404876701,2.71777164657358,3.69032207523496
"Singapore",10,8.61196729452732,4.7024184214304,4.13481892177871,1.65908643268272,3.09383832067661,4.19988325579073
"Slovak Republic",9.9598389247242,7.62268284499478,7.42644318739601,7.65438259287704,3.4593222881467,7.29914438063555,5.28112898239105
"Slovenia",9.95326525999104,8.6951748425083,7.73444310293667,7.13139592202672,3.67465387339372,8.82241056026594,3.6866720212367
"South Africa",8.48381695973698,6.88916925809435,2.97289590836109,7.79173143636039,2.69110203827391,2.56081702004604,3.36134679419983
"Spain",9.99666555493786,8.65355677327155,5.71147960978763,6.45757714739658,4.14953411163301,8.16173571237046,2.09124286419873
"Sri Lanka",8.91752503610493,7.51065617704193,5.429804014738,7.53079065201809,5.6626574643141,6.68849675816835,3.98514326192043
"Sudan",5.07849460426192,5.5533098121406,3.30538700152503,3.86283704228232,6.88415942759542,3.07666479136826,3.09286967386365
"Sweden",9.97661200950066,8.93478231984896,7.52079561856327,4.24187880184637,3.53939920765029,9.50577175002647,6.99998747113367
"Switzerland",9.99666555493786,8.49012272363843,7.16647274523238,6.94969262212415,4.20054285465811,9.29579870328087,7.81687648768374
